Major,Minor,Specific,Time
NU,School,FRC,8.5
NU,School,Marching Band,13
LE,Living,Sleep,52
NL,Lazy,Video Media,6
EU,School,School Work,24.25
EU,School,Homework,12.5
EU,School,College Apps,14
