Major,Minor,Specific,Time
NU,School,FRC,10.5
NU,School,Marching Band,17
LE,Living,Sleep,53
NL,Lazy,Video Media,14.75
EU,School,School Work,29.75
EU,School,Homework,6.5
EU,School,College Apps,4
NL,Lazy,Nothing,5
NU,Recreation, Family,3
