Major,Minor,Specific,Time
NU,School,FRC,4
NU,School,Marching Band,21
LE,Living,Sleep,41
NL,Lazy,Video Media,11.5
EU,School,School Work,20.5
EU,School,Homework,13.25
EU,School,College Apps,16.5
NU,Recreation,Friend,5
