Major,Minor,Specific,Time
NU,School,FRC,17.25
NU,School,Marching Band,14.5
NU,Recreation,Reading,.83
LE,Living,Sleep,57
NL,Lazy,Video Media,8.53
EU,School,School Work,28.5
EU,School,Homework,5.583
EU,School,College Apps,4
