Major,Minor,Specific,Time
NU,School,FRC,0
NU,School,Marching Band,31
LE,Living,Sleep,55
NL,Lazy,Video Media,15
EU,School,School Work,23
EU,School,Homework,1.5
EU,School,College Apps,5.5
