Major,Minor,Specific,Time
NU,School,FRC,6.5
NU,School,Marching Band,17.5
LE,Living,Sleep,56
NL,Lazy,Video Media,7
EU,School,School Work,33
EU,School,Homework,3
EU,School,College Apps,2
NU,School,Reading,1.5
NU,Recreation,Friend,4
NU,Recreation,Photography,2
