Major,Minor,Specific,Time
NU,School,FRC,0
NU,School,Marching Band,9
NU,Project,project,7.5
LE,Living,Sleep,64.5
NL,Lazy,Video Media,16
NL,Lazy,Video Games,2
EU,School,School Work,29.25
EU,School,Homework,9
