Major,Minor,Specific,Time
NU,School,FRC,2
NU,School,Marching Band,24
LE,Living,Sleep,52.5
NL,Lazy,Video Media,16.5
EU,School,School Work,26.5
EU,School,Homework,7
EU,School,College Apps,2
NU,Recreation,Friend,10
