Major,Minor,Specific,Time
NU,School,FRC,31.5
NU,School,Marching Band,14.5
LE,Living,Sleep,50.5
NL,Lazy,Video Media,20
EU,School,School Work,21.5
EU,School,Homework,4
EU,School,College Apps,2
