Major,Minor,Specific,Time
NU,School,FRC,6.5
NU,School,Marching Band,66.583
LE,Living,Sleep,47
NL,Lazy,Youtube,8.16
LE,Living,Eating,1
NU,Project,Charity Photography,.946
NL,Lazy,Pool Party,5
