Major,Minor,Specific,Time
NU,School,FRC,39
NU,School,Marching Band,0
LE,Living,Sleep,67
NL,Lazy,Video Media,27
EU,School,School Work,1.5
EU,School,Homework,6
EU,School,College Apps,0
NU,Recreation,Friend,19.5
NU,Recreation, Family,5
