Major,Minor,Specific,Time
NU,School,FRC,0
NU,School,Marching Band,30.5
LE,Living,Sleep,46
NL,Lazy,Video Media,9
NL,Lazy,Laying in Bed,1
EU,School,School Work,29
EU,School,Homework,5.25
EU,School,College Apps,0
