Major,Minor,Specific,Time
NU,School,FRC,4.5
NU,School,Marching Band,8
LE,Living,Sleep,42.5
NL,Lazy,Video Media,20
EU,School,School Work,31
EU,School,Homework,18
EU,School,College Apps,2
NU,Recreation,Friend,5
