Major,Minor,Specific,Time
NU,School,FRC,0
NU,School,Marching Band,25
NU,School,Video Games,2
LE,Living,Sleep,58.5
NL,Lazy,Video Media,10.75
EU,School,School Work,39.45
EU,School,Homework,7.3
EU,School,College Apps,0
