Major,Minor,Specific,Time
EU,School,School Work,0
EU,School,Homework,0
NU,School,FRC,.1525
NU,School,Reading,.5736
NU,Meta,Time Tracking,1.862
NU,Work,Job Searching,.033
EL,Living,Chores,2
LE,Living,Sleep,9.924
