Major,Minor,Specific,Time
NU,School,FRC,8.25
NU,School,Marching Band,17
LE,Living,Sleep,57
NL,Lazy,Video Media,12.5
EU,School,School Work,31
EU,School,Homework,4
EU,School,College Apps,2
NU,School,Math Honor Society,.5
